iter	Passed	Remaining
0	14	7026
1	22	5706
2	29	4964
3	35	4398
4	43	4262
5	50	4129
6	58	4110
7	66	4079
8	74	4042
9	84	4153
10	94	4221
11	104	4250
12	114	4276
13	122	4238
14	130	4232
15	138	4175
16	147	4187
17	155	4177
18	165	4193
19	174	4190
20	182	4168
21	190	4147
22	199	4130
23	206	4094
24	214	4075
25	222	4056
26	229	4028
27	238	4015
28	246	4011
29	255	3995
30	262	3974
31	270	3959
32	278	3945
33	286	3930
34	294	3916
35	303	3905
36	312	3904
37	320	3891
38	329	3899
39	338	3895
40	347	3885
41	355	3879
42	364	3873
43	373	3869
44	381	3859
45	390	3856
46	400	3859
47	408	3849
48	417	3838
49	425	3829
50	434	3821
51	442	3812
52	450	3803
53	459	3795
54	467	3784
55	476	3774
56	484	3762
57	492	3753
58	500	3743
59	509	3733
60	517	3723
61	525	3715
62	534	3704
63	542	3696
64	550	3684
65	559	3677
66	567	3666
67	575	3657
68	583	3646
69	592	3639
70	600	3630
71	609	3623
72	617	3613
73	626	3604
74	634	3596
75	644	3594
76	652	3586
77	661	3578
78	669	3570
79	678	3561
80	686	3551
81	694	3542
82	703	3533
83	711	3525
84	720	3516
85	728	3507
86	737	3499
87	745	3491
88	754	3483
89	762	3475
90	771	3469
91	780	3461
92	789	3453
93	797	3445
94	807	3442
95	816	3435
96	824	3427
97	833	3418
98	841	3408
99	849	3399
100	858	3390
101	866	3381
102	874	3372
103	883	3364
104	891	3351
105	899	3342
106	908	3335
107	916	3326
108	925	3318
109	933	3310
110	942	3301
111	950	3293
112	959	3285
113	967	3277
114	976	3268
115	985	3260
116	993	3253
117	1007	3260
118	1021	3269
119	1031	3265
120	1042	3266
121	1054	3266
122	1064	3261
123	1075	3261
124	1086	3260
125	1097	3258
126	1109	3258
127	1121	3259
128	1133	3260
129	1144	3258
130	1154	3251
131	1162	3241
132	1170	3228
133	1178	3219
134	1187	3210
135	1195	3200
136	1203	3190
137	1211	3178
138	1220	3168
139	1228	3158
140	1236	3149
141	1245	3139
142	1252	3127
143	1260	3116
144	1268	3105
145	1276	3095
146	1285	3086
147	1293	3076
148	1301	3066
149	1311	3059
150	1319	3050
151	1328	3042
152	1337	3032
153	1346	3024
154	1354	3015
155	1362	3004
156	1370	2995
157	1378	2984
158	1388	2977
159	1399	2974
160	1410	2970
161	1422	2967
162	1432	2962
163	1445	2961
164	1458	2962
165	1470	2958
166	1483	2957
167	1495	2956
168	1507	2951
169	1521	2952
170	1533	2950
171	1546	2949
172	1560	2948
173	1573	2947
174	1587	2947
175	1603	2951
176	1616	2950
177	1631	2950
178	1646	2952
179	1660	2952
180	1673	2949
181	1687	2948
182	1701	2947
183	1716	2947
184	1730	2945
185	1743	2944
186	1758	2943
187	1771	2939
188	1783	2934
189	1795	2929
190	1807	2923
191	1818	2917
192	1829	2910
193	1841	2904
194	1853	2899
195	1866	2894
196	1876	2886
197	1889	2881
198	1901	2876
199	1913	2870
200	1929	2870
201	1942	2865
202	1953	2858
203	1965	2851
204	1974	2842
205	1986	2835
206	1998	2829
207	2010	2821
208	2022	2816
209	2036	2812
210	2049	2807
211	2063	2803
212	2077	2799
213	2089	2792
214	2102	2786
215	2112	2777
216	2126	2773
217	2137	2765
218	2149	2758
219	2160	2749
220	2173	2743
221	2185	2736
222	2198	2730
223	2207	2720
224	2220	2713
225	2233	2707
226	2246	2701
227	2259	2695
228	2270	2686
229	2283	2680
230	2295	2673
231	2306	2664
232	2318	2657
233	2331	2649
234	2343	2642
235	2354	2633
236	2367	2626
237	2380	2620
238	2395	2616
239	2406	2607
240	2417	2598
241	2430	2591
242	2442	2583
243	2453	2573
244	2464	2565
245	2478	2558
246	2490	2550
247	2499	2540
248	2511	2532
249	2524	2524
250	2534	2514
251	2545	2505
252	2556	2495
253	2565	2484
254	2575	2474
255	2586	2465
256	2598	2457
257	2610	2448
258	2619	2437
259	2628	2426
260	2637	2414
261	2645	2403
262	2655	2392
263	2663	2380
264	2672	2369
265	2680	2358
266	2689	2346
267	2698	2335
268	2707	2324
269	2715	2313
270	2724	2302
271	2733	2291
272	2741	2279
273	2750	2268
274	2758	2257
275	2767	2246
276	2775	2234
277	2784	2223
278	2791	2211
279	2799	2199
280	2807	2188
281	2816	2177
282	2828	2168
283	2839	2159
284	2849	2149
285	2858	2139
286	2867	2128
287	2876	2117
288	2885	2106
289	2894	2095
290	2903	2085
291	2911	2074
292	2920	2063
293	2928	2052
294	2937	2041
295	2945	2029
296	2954	2019
297	2963	2008
298	2971	1997
299	2980	1986
300	2986	1974
301	2995	1963
302	3002	1952
303	3013	1942
304	3023	1933
305	3035	1924
306	3048	1916
307	3060	1907
308	3072	1899
309	3082	1889
310	3091	1878
311	3099	1867
312	3107	1856
313	3116	1845
314	3124	1835
315	3134	1824
316	3142	1814
317	3151	1803
318	3159	1792
319	3168	1782
320	3177	1772
321	3185	1761
322	3193	1750
323	3202	1739
324	3208	1727
325	3217	1717
326	3225	1706
327	3233	1695
328	3241	1684
329	3250	1674
330	3258	1663
331	3267	1653
332	3279	1644
333	3290	1635
334	3301	1626
335	3311	1616
336	3320	1606
337	3330	1596
338	3338	1585
339	3347	1575
340	3356	1564
341	3366	1555
342	3375	1544
343	3383	1534
344	3392	1524
345	3400	1513
346	3410	1503
347	3418	1493
348	3427	1483
349	3435	1472
350	3443	1461
351	3452	1451
352	3463	1442
353	3473	1432
354	3483	1422
355	3492	1412
356	3501	1402
357	3511	1392
358	3520	1382
359	3530	1373
360	3541	1363
361	3550	1353
362	3561	1343
363	3570	1334
364	3580	1324
365	3589	1314
366	3599	1304
367	3610	1294
368	3620	1285
369	3628	1275
