iter	Logloss
0	0.6703646484
1	0.6495532633
2	0.6263768962
3	0.6054937988
4	0.5844243774
5	0.5644742594
6	0.5459905965
7	0.5286076294
8	0.5125516357
9	0.4983625977
10	0.4828842244
11	0.4680707275
12	0.4547790324
13	0.4431403971
14	0.431416272
15	0.4199978882
16	0.4091675273
17	0.3995356486
18	0.3905592306
19	0.3817994975
20	0.374107194
21	0.3667379333
22	0.3585193339
23	0.3508143107
24	0.3427352051
25	0.3353417338
26	0.3286666951
27	0.3231782003
28	0.3171857239
29	0.3107548808
30	0.3051951701
31	0.2997044902
32	0.2955368835
33	0.2909579285
34	0.2870035197
35	0.2827169067
36	0.2785984131
37	0.2747713196
38	0.2706150513
39	0.2675390991
40	0.264331545
41	0.2610597514
42	0.2576763306
43	0.2542217102
44	0.2516318583
45	0.2487990031
46	0.2462075399
47	0.2439407491
48	0.2418622681
49	0.2394889994
50	0.2377138143
51	0.2352224854
52	0.2333466146
53	0.2315415161
54	0.2297075663
55	0.2280893107
56	0.2263732646
57	0.2244785604
58	0.2226573486
59	0.2212368693
60	0.2197768656
61	0.218212793
62	0.2168036723
63	0.2155004679
64	0.2142754598
65	0.2131352559
66	0.2120025309
67	0.2109402222
68	0.2097072774
69	0.2086739817
70	0.2077731252
71	0.2070415985
72	0.2061698242
73	0.20534593
74	0.2046624919
75	0.2039496735
76	0.2030846141
77	0.2023864583
78	0.2016634867
79	0.2009335246
80	0.2002477315
81	0.1996027445
82	0.1991205922
83	0.1986633158
84	0.1980195719
85	0.1973466827
86	0.1967025085
87	0.1962842885
88	0.1958276123
89	0.1952920349
90	0.1948436005
91	0.1944416951
92	0.1939900594
93	0.1935074453
94	0.1930075205
95	0.192512914
96	0.1920859609
97	0.1918366201
98	0.1916015727
99	0.1913434947
100	0.1909470398
101	0.1906474467
102	0.1903674835
103	0.190037499
104	0.1897090912
105	0.1893739085
106	0.1891159149
107	0.1887559662
108	0.1884651957
109	0.1882138641
110	0.1879620005
111	0.1877503459
112	0.1875435089
113	0.1873235606
114	0.1871725108
115	0.1869702372
116	0.1867425262
117	0.1865930725
118	0.1864185394
119	0.1862647532
120	0.1860690898
121	0.1859378601
122	0.1857361745
123	0.1855808767
124	0.1853674438
125	0.1852065633
126	0.1850918772
127	0.1849511444
128	0.1848412781
129	0.1846518697
130	0.1845074107
131	0.1843383341
132	0.184233666
133	0.1840493907
134	0.1839156016
135	0.1837969462
136	0.1836735647
137	0.1835250112
138	0.1834136088
139	0.1833102193
140	0.1831992401
141	0.1830944499
142	0.1829969391
143	0.182920519
144	0.182823642
145	0.1827229126
146	0.1826014994
147	0.1825155629
148	0.1824286723
149	0.1823353099
150	0.1822484467
151	0.1821426086
152	0.1820958303
153	0.1820266571
154	0.1819876414
155	0.1819175222
156	0.1818466492
157	0.1817715515
158	0.1817205892
159	0.1816575979
160	0.1815929952
161	0.1815037994
162	0.1814374969
163	0.1813713725
164	0.1812763601
165	0.1812184021
166	0.1811651316
167	0.1811116821
168	0.1810483175
169	0.180980068
170	0.180919868
171	0.1808786641
172	0.1808169128
173	0.1807572296
174	0.1807051005
175	0.1806559001
176	0.180589149
177	0.1805452057
178	0.1804899272
179	0.1804441895
180	0.1803902262
181	0.1803526622
182	0.1803122284
183	0.1802758179
184	0.18023992
185	0.1802020528
186	0.180180894
187	0.1801490824
188	0.1800863475
189	0.1800579203
190	0.1800241252
191	0.1799779897
192	0.1799468811
193	0.1799049662
194	0.1798702922
195	0.1798413106
196	0.1798087626
197	0.1797720815
198	0.1797313039
