iter	Passed	Remaining
0	7	6374
1	16	6659
2	24	6596
3	32	6553
4	40	6420
5	48	6421
6	56	6478
7	65	6560
8	76	6810
9	87	6946
10	97	7057
11	108	7202
12	125	7636
13	136	7723
14	147	7799
15	158	7859
16	169	7858
17	179	7852
18	188	7813
19	199	7862
20	210	7885
21	222	7926
22	232	7933
23	243	7944
24	255	7981
25	267	8021
26	277	8025
27	286	7958
28	296	7959
29	308	7988
30	323	8106
31	340	8242
32	355	8326
33	370	8434
34	384	8479
35	395	8464
36	406	8467
37	417	8458
38	429	8448
39	440	8439
40	451	8436
41	463	8435
42	473	8418
43	483	8384
44	493	8354
45	505	8359
46	515	8339
47	525	8314
48	541	8372
49	553	8374
50	570	8457
51	584	8488
52	598	8513
53	612	8541
54	622	8505
55	632	8481
56	642	8455
57	653	8435
58	663	8407
59	673	8380
60	683	8360
61	694	8347
62	704	8322
63	715	8305
64	725	8281
65	735	8260
66	747	8251
67	760	8268
68	771	8246
69	780	8212
70	789	8183
71	798	8154
72	807	8122
73	816	8091
74	825	8060
75	834	8030
76	843	8000
77	853	7974
78	862	7950
79	871	7919
80	880	7892
81	889	7866
82	898	7840
83	906	7802
84	913	7761
85	921	7726
86	928	7685
87	936	7649
88	943	7610
89	951	7579
90	958	7542
91	966	7507
92	972	7469
93	979	7430
94	987	7397
95	995	7371
96	1002	7340
97	1010	7307
98	1017	7274
99	1024	7242
100	1031	7212
101	1043	7213
102	1057	7225
103	1071	7241
104	1090	7292
105	1107	7325
106	1121	7338
107	1136	7353
108	1151	7374
109	1163	7374
110	1175	7372
111	1188	7375
112	1200	7372
113	1213	7374
114	1225	7372
115	1237	7370
116	1250	7375
117	1263	7379
118	1276	7377
119	1288	7374
120	1303	7390
121	1314	7380
122	1326	7377
123	1338	7375
124	1351	7374
125	1363	7370
126	1374	7356
127	1385	7351
128	1399	7356
129	1412	7356
130	1426	7360
131	1438	7353
132	1451	7354
133	1464	7357
134	1479	7362
135	1492	7364
136	1505	7361
137	1518	7361
138	1532	7362
139	1545	7361
140	1557	7354
141	1567	7339
142	1577	7325
143	1587	7308
144	1597	7293
145	1609	7285
146	1619	7271
147	1631	7263
148	1642	7255
149	1655	7248
150	1666	7238
151	1677	7227
152	1685	7205
153	1694	7184
154	1702	7159
155	1710	7135
156	1718	7112
157	1725	7089
158	1733	7066
159	1741	7042
160	1749	7018
161	1757	6997
162	1765	6977
163	1775	6959
164	1783	6940
165	1791	6919
166	1800	6899
167	1869	7112
168	1883	7109
169	1903	7133
170	1914	7121
171	1925	7107
172	1933	7084
173	1941	7064
174	1949	7040
175	1957	7016
176	1964	6991
177	1971	6967
178	1979	6945
179	1987	6922
180	1995	6900
181	2002	6877
182	2010	6855
183	2018	6833
184	2026	6812
185	2033	6790
186	2041	6769
187	2049	6748
188	2058	6730
189	2065	6708
190	2073	6686
191	2081	6666
192	2088	6645
193	2098	6632
194	2108	6616
195	2118	6604
196	2133	6606
197	2145	6597
198	2157	6591
199	2170	6587
200	2188	6598
201	2201	6593
202	2223	6615
203	2237	6613
204	2252	6616
205	2268	6619
206	2283	6617
207	2296	6613
208	2310	6610
209	2324	6606
210	2337	6602
211	2351	6598
212	2365	6596
213	2387	6617
214	2407	6628
215	2428	6643
216	2448	6657
217	2466	6664
218	2488	6682
219	2508	6693
220	2522	6687
221	2536	6684
222	2556	6694
223	2570	6689
224	2584	6685
225	2603	6693
226	2618	6691
227	2634	6690
228	2659	6711
229	2675	6712
230	2695	6720
231	2723	6749
232	2746	6767
233	2767	6776
234	2781	6771
235	2793	6757
236	2801	6737
237	2808	6715
238	2820	6702
239	2827	6680
240	2835	6660
241	2844	6641
242	2852	6620
243	2860	6600
244	2868	6580
245	2876	6559
246	2884	6539
247	2891	6517
248	2899	6496
249	2906	6475
250	2916	6459
251	2928	6449
252	2938	6434
253	2951	6425
254	2961	6411
255	2973	6399
256	2984	6386
257	2996	6375
258	3008	6365
259	3028	6371
260	3041	6361
261	3052	6350
262	3066	6341
263	3076	6328
264	3088	6317
265	3099	6303
266	3166	6403
267	3188	6412
268	3213	6426
269	3225	6414
270	3234	6397
271	3242	6376
272	3254	6366
273	3268	6358
274	3282	6349
275	3295	6339
276	3308	6330
277	3322	6322
278	3335	6311
279	3346	6299
280	3360	6289
281	3373	6280
282	3385	6268
283	3398	6258
284	3411	6248
285	3425	6240
286	3438	6229
287	3451	6220
288	3468	6217
289	3481	6206
290	3493	6194
291	3506	6184
292	3519	6174
293	3533	6164
294	3546	6154
295	3559	6144
296	3573	6136
297	3586	6125
298	3599	6115
299	3613	6107
300	3626	6096
301	3638	6084
302	3651	6073
303	3664	6062
304	3676	6051
305	3688	6039
306	3699	6025
307	3709	6009
308	3719	5995
309	3730	5980
310	3739	5964
311	3750	5950
312	3761	5936
313	3771	5921
314	3780	5905
315	3791	5891
316	3812	5892
317	3823	5879
318	3834	5865
319	3845	5853
320	3857	5840
321	3868	5827
322	3878	5812
323	3887	5794
324	3896	5779
325	3905	5761
326	3913	5744
327	3922	5727
328	3930	5710
329	3938	5692
330	3947	5676
331	3956	5661
332	3966	5646
333	3975	5630
334	3984	5614
335	3995	5600
336	4006	5587
337	4017	5574
338	4027	5560
339	4039	5548
340	4051	5536
341	4065	5527
342	4077	5515
343	4089	5504
344	4101	5492
345	4113	5481
346	4125	5469
347	4138	5458
348	4151	5448
349	4164	5438
350	4177	5427
351	4191	5417
352	4206	5409
353	4218	5398
354	4229	5385
355	4241	5373
356	4254	5362
357	4264	5348
358	4274	5334
359	4283	5319
360	4296	5307
361	4308	5296
362	4319	5283
363	4331	5271
364	4341	5257
365	4352	5243
366	4362	5230
367	4372	5216
368	4381	5200
369	4390	5185
370	4398	5169
371	4407	5153
372	4417	5139
373	4425	5123
374	4434	5108
