iter	Logloss
0	0.6794491131
1	0.6667255868
2	0.6539573744
3	0.6422013492
4	0.6307569713
5	0.6212358357
6	0.6127665023
7	0.6042995845
8	0.596793309
9	0.5885706866
10	0.5818743249
11	0.5756362618
12	0.5694253774
13	0.5639616815
14	0.5588961097
15	0.5537051612
16	0.5505592125
17	0.546202252
18	0.5419761013
19	0.5383641054
20	0.5356376034
21	0.5327229078
22	0.5291048204
23	0.5262035813
24	0.5237483964
25	0.5211079876
26	0.518340737
27	0.515795818
28	0.5140462359
29	0.5120091548
30	0.5105429509
31	0.5088096943
32	0.5071850048
33	0.506176114
34	0.5042917758
35	0.5026567432
36	0.5014744713
37	0.500270698
38	0.4989915496
39	0.4977760902
40	0.4970050195
41	0.4959467507
42	0.4950342829
43	0.4939724865
44	0.4934143637
45	0.4931391744
46	0.4923700833
47	0.4914884049
48	0.4908499099
49	0.4899732939
50	0.4895827833
51	0.4890704847
52	0.4885779477
53	0.4879618437
54	0.4875019405
55	0.4871974052
56	0.4864791703
57	0.4859198964
58	0.4854609612
59	0.4849656771
60	0.4843857171
61	0.4838324606
62	0.4834949165
63	0.4830404072
64	0.4825336028
65	0.4820909758
66	0.4818092371
67	0.4813642118
68	0.4809701386
69	0.4805919027
70	0.4803039154
71	0.4800654412
72	0.4797856865
73	0.479449394
74	0.4792275201
75	0.4788032463
76	0.4785069785
77	0.4781896889
78	0.4778498905
79	0.4774925717
80	0.477256692
81	0.4769199809
82	0.4767845359
83	0.4766628657
84	0.4762843987
85	0.4759697645
86	0.4758138995
87	0.4755605954
88	0.4752779628
89	0.4750763477
90	0.4748951789
91	0.4747824476
92	0.47458852
93	0.4743787814
94	0.4742722028
95	0.4741830966
96	0.4740560281
97	0.4739463143
98	0.4738760148
99	0.4737615437
100	0.4736020769
101	0.4734367497
102	0.4732819225
103	0.4731117507
104	0.4728833057
105	0.4727542445
106	0.4726278257
107	0.4725359331
108	0.4724726714
109	0.4723731916
110	0.4722354269
111	0.4721464864
112	0.472055479
113	0.4719067216
114	0.4717088609
115	0.4715519144
116	0.4713849389
117	0.4712814257
118	0.4711858704
119	0.4710817511
120	0.47104586
121	0.4709005779
122	0.4708007449
123	0.4707448742
124	0.4706621517
125	0.4706039263
126	0.470455134
127	0.4704142982
128	0.4702853547
129	0.4702264971
130	0.4701262498
131	0.470049789
132	0.4699588557
133	0.4698205416
134	0.4697491607
135	0.4696743263
136	0.4696117535
137	0.4694739234
138	0.4693915716
139	0.469375887
140	0.4693222096
141	0.4692494987
142	0.469223942
143	0.4691392922
144	0.4690931148
145	0.4690320333
146	0.4689673174
147	0.4689091749
148	0.4688447598
149	0.4687297524
150	0.4686363184
151	0.4685070566
152	0.4684310645
153	0.4682963478
154	0.4681767793
155	0.4681058236
156	0.4680277341
157	0.4679309949
158	0.4678809977
159	0.4678382389
160	0.4677955696
161	0.467708709
162	0.4676789357
163	0.4675760177
164	0.4674395938
165	0.4673746555
166	0.4673067325
167	0.4672760805
168	0.4672322883
169	0.4671904954
170	0.4671632359
171	0.4671077533
172	0.4670390977
173	0.4669997662
174	0.4669442269
175	0.4668057449
176	0.4667009083
177	0.4666987368
178	0.4666638748
179	0.4665876124
180	0.4664987983
181	0.4664544218
182	0.4664147131
183	0.4663444921
184	0.4663016331
185	0.4662545705
186	0.4662163902
187	0.4661995762
188	0.4661782579
189	0.4661519534
190	0.4661095827
191	0.466078268
192	0.4660157911
193	0.465991185
194	0.4659700978
195	0.4658997459
196	0.4658887161
197	0.4658663338
198	0.4657792421
199	0.4657045146
200	0.4656570029
201	0.4656438473
202	0.4656121576
203	0.4655672579
204	0.4655038741
205	0.4654695201
206	0.4654432352
207	0.4654258151
208	0.4653580752
209	0.4653217699
210	0.4653138382
211	0.465253655
212	0.4652374406
213	0.4651807348
214	0.4651615771
215	0.4651458533
216	0.4651214281
217	0.4650456562
218	0.4650250072
219	0.4649809206
220	0.4649522462
221	0.4649059859
222	0.4648865949
223	0.4648366806
224	0.4647830228
225	0.4647778099
226	0.4647597183
227	0.4647221638
228	0.4646666005
229	0.4646492
230	0.4646073286
231	0.4645391243
232	0.4644181517
233	0.4643639271
234	0.4643226509
235	0.4642897969
236	0.4642460069
237	0.4642342184
238	0.4641915599
239	0.4641846507
240	0.4641261245
241	0.4640877654
242	0.4640313104
243	0.4639755356
244	0.4638789163
245	0.4638677492
246	0.4637825848
247	0.4637680993
248	0.4637356967
249	0.4636911261
250	0.4636518405
251	0.4636318739
252	0.463617602
253	0.4635968615
254	0.4635697568
255	0.4635369377
256	0.463514381
257	0.4634880459
258	0.4634614558
259	0.463428822
260	0.4634035792
261	0.4633851257
262	0.4633714905
263	0.4633194701
264	0.4632967935
265	0.4632306648
266	0.4632143719
267	0.4631869707
268	0.4631401
269	0.4631015055
270	0.4630902554
271	0.4630373629
272	0.4629974494
273	0.462967929
274	0.46295899
275	0.4629427691
276	0.462879237
277	0.4628640822
278	0.4628547813
279	0.4628236018
280	0.4627995538
281	0.4627855196
282	0.462781375
283	0.4627490072
284	0.4627353088
285	0.4627212571
286	0.4627024439
287	0.4626552396
288	0.4626276008
289	0.4626038079
290	0.4625727177
291	0.4625476014
292	0.4625181726
293	0.4625083986
294	0.4624906122
295	0.4624630192
296	0.462452953
297	0.4624330824
298	0.4624109028
299	0.4623973047
300	0.4623487661
301	0.4623173925
302	0.4622746512
303	0.462255367
304	0.4622367282
305	0.4622206293
306	0.4622079077
307	0.4621845312
308	0.4621676801
309	0.4621497194
310	0.462090563
311	0.4620486742
312	0.4620226661
313	0.461974193
314	0.461970613
315	0.4619594589
316	0.4619218433
317	0.4618691623
318	0.4618194333
319	0.4617681956
320	0.4617571004
321	0.4617238911
322	0.4617067675
323	0.4616845095
324	0.4616581221
325	0.4616345167
326	0.4615969032
327	0.4615561961
328	0.4614955637
329	0.461460874
330	0.4614328275
331	0.4613391536
332	0.4613144494
333	0.4613114625
334	0.4612980344
335	0.4612728745
336	0.4612525416
337	0.4611865939
338	0.4611684281
339	0.4611485945
340	0.461100976
341	0.4610780007
342	0.4610677013
343	0.4610563531
344	0.4610029832
345	0.4609571088
346	0.4609371575
347	0.46090414
348	0.4608869576
349	0.4608669256
350	0.4608370912
351	0.4608111573
352	0.4607638462
353	0.4607528818
354	0.4607181027
355	0.4606947262
356	0.460664059
357	0.4606210059
358	0.4605781796
359	0.4605497471
360	0.4605239964
361	0.4605036613
362	0.4604739076
363	0.4604627143
364	0.4604264439
365	0.4603813741
366	0.4603231901
367	0.4602532133
368	0.4602302118
369	0.4602032358
370	0.4601592212
371	0.4600992952
372	0.460058285
373	0.459997923
374	0.4599268779
375	0.459901114
376	0.4598534018
377	0.45977814
378	0.4597475056
379	0.4597204227
380	0.4596650927
381	0.4595504123
382	0.4595015859
383	0.4594715968
384	0.4594521796
385	0.4594071403
386	0.45936417
387	0.4593308648
388	0.4592796009
389	0.4592263857
390	0.4591807512
391	0.4591209212
392	0.459085645
393	0.4590282982
394	0.4589969792
395	0.4589738992
396	0.4589181353
397	0.4588407806
398	0.4587937376
399	0.4587406031
400	0.4586818697
401	0.4586262323
402	0.4585912548
403	0.4585346319
404	0.4584918492
405	0.4584399683
406	0.4583860772
407	0.4583053933
408	0.4582426613
409	0.4582060007
410	0.4581447208
411	0.4580709002
412	0.4580263275
413	0.4579908006
414	0.4579377205
415	0.4578635816
416	0.4578200598
417	0.4577743882
418	0.4577262246
419	0.4576703496
420	0.4576307521
421	0.4575238421
422	0.457483015
423	0.4574387781
424	0.4573783572
425	0.4573091609
426	0.4572499217
427	0.4571729638
428	0.4571018052
429	0.4570453044
430	0.4570038604
431	0.4569355797
432	0.4568823776
433	0.4568331065
434	0.4567784807
435	0.4567335046
436	0.456663554
437	0.4566173875
438	0.4565712036
439	0.4565325698
440	0.4564920283
441	0.4564380282
442	0.4563857506
443	0.4563322825
444	0.4562816312
445	0.4562224575
446	0.4561647684
447	0.4561205751
448	0.4560668017
449	0.4560134427
450	0.4559507195
451	0.4559116998
452	0.455864707
453	0.4558099046
454	0.4557664351
455	0.4557124612
456	0.4556433128
457	0.4555826173
458	0.4555325569
459	0.4554956913
460	0.4554304434
461	0.4553757762
462	0.4553185711
463	0.45526976
464	0.4552246139
465	0.455193962
466	0.4551671211
467	0.4551129401
468	0.45506915
469	0.4550327401
470	0.4549785068
471	0.4549494944
472	0.4548913301
473	0.4548566774
474	0.4548228619
475	0.4547820567
476	0.4547286758
477	0.454669018
478	0.4546192454
479	0.4545673514
480	0.4545206399
481	0.4544689509
482	0.454415001
483	0.4543327734
484	0.4542993744
485	0.4542559637
486	0.4542115676
487	0.4541812819
488	0.4541357957
489	0.4540986946
490	0.4540562498
491	0.4540077308
492	0.4539580389
493	0.4539272343
494	0.4538923375
495	0.453844852
496	0.4538133977
497	0.4537721499
498	0.4537382036
499	0.4536811861
500	0.4536376708
501	0.4536083444
502	0.453564441
503	0.4534977934
504	0.4534575506
505	0.4534020157
506	0.4533695934
507	0.4533268913
508	0.4532917001
509	0.4532423592
510	0.4531985626
511	0.4531708976
512	0.4531295974
513	0.4530906432
514	0.4530495741
515	0.4530062092
516	0.4529626655
517	0.4529231182
518	0.4528767686
519	0.4528179524
520	0.4527802889
521	0.4527434276
522	0.4526959399
523	0.4526386324
524	0.452606474
525	0.45256254
526	0.4525057907
527	0.4524688074
528	0.4524327463
529	0.4523838436
530	0.4523262657
531	0.4523012759
532	0.4522615542
533	0.4522072489
534	0.4521689705
535	0.4521362037
536	0.4521010453
537	0.4520616571
538	0.4520319318
539	0.4519861643
540	0.4519527522
541	0.4519301998
542	0.4518958589
543	0.4518565319
544	0.4518172636
545	0.4517739794
546	0.4517331436
547	0.4516953231
548	0.4516600927
549	0.4516041086
550	0.4515648425
551	0.4515345329
552	0.4514967756
553	0.4514638104
554	0.451443689
555	0.4514070088
556	0.4513665218
557	0.4513221998
558	0.4512942514
559	0.4512503828
560	0.4512266466
561	0.4511845354
562	0.4511504757
563	0.4511206414
564	0.4510695192
565	0.4510420614
566	0.4510025337
567	0.450956341
568	0.450912333
569	0.4508883896
570	0.4508401716
571	0.4507915131
572	0.4507497528
573	0.4507178625
574	0.4506899315
575	0.4506513414
576	0.4506157905
577	0.4505835491
578	0.4505589408
579	0.4505229408
580	0.4504928557
581	0.4504652103
582	0.4504256216
583	0.4503902473
584	0.4503540423
585	0.4503208766
586	0.4502836927
587	0.4502398154
588	0.4502067892
589	0.4501781911
590	0.4501605639
591	0.4501184592
592	0.4500875979
593	0.450067869
594	0.45003043
595	0.4500108013
596	0.4499705694
597	0.4499339764
598	0.4499041268
599	0.4498570598
600	0.4498089268
601	0.4497659151
602	0.4497402014
603	0.4497108838
604	0.4496599971
605	0.4496349091
606	0.4496013008
607	0.4495738255
608	0.449545731
609	0.4494998806
610	0.4494522948
611	0.449411254
612	0.4493526668
613	0.449336315
614	0.4492894508
615	0.4492633578
616	0.4492327669
617	0.449210027
618	0.4491924478
619	0.4491554536
620	0.4491261207
621	0.449083024
622	0.4490564447
623	0.4490197688
624	0.4489867928
625	0.4489545384
626	0.448912946
627	0.4488683667
628	0.4488332693
629	0.4487791537
630	0.4487497576
631	0.4487179
632	0.4486830991
633	0.4486450038
634	0.4486202603
635	0.4485864209
636	0.4485564862
637	0.4485256272
638	0.4484873248
639	0.4484596184
640	0.4484312797
641	0.4484063574
642	0.4483715303
643	0.4483025848
644	0.4482641647
645	0.4482135069
646	0.4481823622
647	0.4481389014
648	0.4480946928
649	0.4480584573
650	0.4480295168
651	0.4480007813
652	0.4479562478
653	0.4479334164
654	0.4479032594
655	0.4478720014
656	0.4478514265
657	0.4478109439
658	0.4477772265
659	0.4477376836
660	0.4476951189
661	0.4476477162
662	0.447608158
663	0.4475707321
664	0.447533099
665	0.4475022727
666	0.4474730946
667	0.4474475989
668	0.4474049841
669	0.4473737653
670	0.4473423917
671	0.4473203473
672	0.4472999076
673	0.447266598
674	0.4472243036
675	0.447190015
676	0.4471631175
677	0.4471426887
678	0.4471075346
679	0.4470739742
680	0.4470454
681	0.4470092059
682	0.446963602
683	0.4469467705
684	0.4469149456
685	0.4468874681
686	0.4468565829
687	0.4468249913
688	0.4467957674
689	0.4467697812
