iter	Passed	Remaining
0	66	45835
1	75	26078
2	85	19525
3	95	16398
4	104	14353
5	114	13011
6	123	12072
7	131	11223
8	140	10648
9	149	10147
10	159	9853
11	169	9554
12	180	9384
13	189	9129
14	197	8877
15	208	8763
16	216	8589
17	227	8488
18	237	8389
19	246	8261
20	260	8305
21	274	8346
22	282	8184
23	289	8037
24	297	7921
25	306	7819
26	314	7732
27	323	7646
28	332	7577
29	341	7505
30	350	7448
31	358	7367
32	367	7316
33	376	7261
34	385	7221
35	394	7163
36	404	7137
37	412	7069
38	421	7034
39	430	6987
40	438	6948
41	446	6888
42	456	6867
43	467	6857
44	477	6844
45	487	6827
46	498	6817
47	507	6783
48	517	6768
49	527	6752
50	535	6711
51	544	6676
52	553	6651
53	563	6641
54	574	6629
55	584	6618
56	592	6578
57	602	6561
58	610	6526
59	617	6487
60	625	6451
61	634	6424
62	643	6400
63	652	6384
64	661	6357
65	669	6328
66	679	6316
67	687	6292
68	696	6271
69	705	6250
70	715	6239
71	724	6222
72	733	6199
73	742	6177
74	752	6166
75	761	6152
76	769	6128
77	779	6113
78	786	6082
79	797	6083
80	806	6063
81	814	6040
82	823	6022
83	831	6002
84	840	5983
85	849	5963
86	857	5941
87	866	5927
88	874	5907
89	882	5880
90	889	5854
91	897	5835
92	905	5812
93	914	5797
94	922	5777
95	931	5762
96	938	5737
97	946	5720
98	1007	6014
99	1016	5998
100	1024	5974
101	1033	5958
102	1043	5945
103	1052	5930
104	1061	5912
105	1070	5896
106	1078	5875
107	1086	5853
108	1094	5836
109	1103	5817
110	1110	5790
111	1117	5768
112	1125	5746
113	1134	5730
114	1142	5712
115	1150	5694
116	1158	5675
117	1168	5662
118	1175	5640
119	1184	5625
120	1192	5606
121	1200	5589
122	1208	5572
123	1218	5563
124	1227	5546
125	1235	5528
126	1243	5511
127	1251	5496
128	1259	5478
129	1268	5465
130	1278	5453
131	1286	5438
132	1295	5425
133	1304	5413
134	1313	5399
135	1322	5388
136	1331	5373
137	1342	5371
138	1351	5357
139	1360	5345
140	1368	5327
141	1376	5310
142	1383	5294
143	1392	5281
144	1400	5263
145	1409	5251
146	1417	5237
147	1427	5226
148	1437	5221
149	1446	5207
150	1455	5195
151	1462	5178
152	1471	5163
153	1480	5151
154	1489	5142
155	1499	5131
156	1507	5118
157	1517	5107
158	1527	5100
159	1535	5085
160	1544	5075
161	1553	5063
162	1563	5053
163	1570	5038
164	1579	5025
165	1586	5009
166	1594	4994
167	1600	4973
